S:2017-11-16 10:23:54 E:2017-11-19 17:19:11 Price:21.35
S:2017-11-19 17:19:11 E:2017-11-20 01:32:49 Price:21.76
S:2017-11-20 01:32:49 E:2017-11-20 08:11:59 Price:21.8
S:2017-11-20 08:11:59 E:2017-11-20 15:03:11 Price:21.97
S:2017-11-20 15:03:11 E:2017-11-20 18:28:14 Price:21.98
S:2017-11-20 18:28:14 E:2017-11-20 21:53:03 Price:21.4
S:2017-11-20 21:53:03 E:2017-11-21 14:18:16 Price:21.35
S:2017-11-21 14:18:16 E:2017-11-28 05:14:37 Price:15.03
S:2017-11-28 05:14:37 E:2017-11-28 10:29:35 Price:21.76
S:2017-11-28 10:29:35 E:2017-11-28 15:28:34 Price:21.95
S:2017-11-28 15:28:34 E:2017-11-30 18:15:11 Price:21.96
S:2017-11-30 18:15:11 E:2017-12-01 17:48:12 Price:24.99
S:2017-12-01 17:48:12 E:2017-12-02 03:44:10 Price:15.03
S:2017-12-02 03:44:10 E:2017-12-02 06:18:55 Price:22.31
S:2017-12-02 06:18:55 E:2017-12-02 07:55:25 Price:22.59
S:2017-12-02 07:55:25 E:2017-12-02 11:24:28 Price:22.93
S:2017-12-02 11:24:28 E:2017-12-02 21:20:19 Price:23.78
S:2017-12-02 21:20:19 E:2017-12-05 10:19:26 Price:15.03
S:2017-12-05 10:19:26 E:2017-12-05 16:14:03 Price:23.05
S:2017-12-05 16:14:03 E:2017-12-05 22:50:06 Price:24.02
S:2017-12-05 22:50:06 E:2017-12-06 03:47:51 Price:24.51
S:2017-12-06 03:47:51 E:2017-12-07 02:20:10 Price:15.03
S:2017-12-07 02:20:10 E:2017-12-07 04:03:13 Price:24.51
S:2017-12-07 04:03:13 E:2017-12-07 19:30:13 Price:15.03
S:2017-12-07 19:30:13 E:2017-12-07 21:53:16 Price:24.51
S:2017-12-07 21:53:16 E:2017-12-08 00:52:12 Price:15.03
S:2017-12-08 00:52:12 E:2017-12-08 02:26:11 Price:24.51
S:2017-12-08 02:26:11 E:2017-12-08 05:52:41 Price:15.03
S:2017-12-08 05:52:41 E:2017-12-08 07:34:41 Price:24.51
S:2017-12-08 07:34:41 E:2017-12-08 10:48:28 Price:15.03
S:2017-12-08 10:48:28 E:2017-12-08 12:30:14 Price:24.51
S:2017-12-08 12:30:14 E:2017-12-08 14:14:45 Price:15.03
S:2017-12-08 14:14:45 E:2017-12-08 15:50:50 Price:24.75
S:2017-12-08 15:50:50 E:2017-12-08 17:28:52 Price:24.76
S:2017-12-08 17:28:52 E:2017-12-08 19:12:25 Price:15.03
S:2017-12-08 19:12:25 E:2017-12-08 20:55:05 Price:24.76
S:2017-12-08 20:55:05 E:2017-12-08 22:31:54 Price:26.14
S:2017-12-08 22:31:54 E:2017-12-08 23:38:28 Price:15.03
S:2017-12-08 23:38:28 E:2017-12-09 02:50:49 Price:26.14
S:2017-12-09 02:50:49 E:2017-12-09 05:58:31 Price:15.03
S:2017-12-09 05:58:31 E:2017-12-09 07:40:08 Price:26.14
S:2017-12-09 07:40:08 E:2017-12-09 09:31:00 Price:15.03
S:2017-12-09 09:31:00 E:2017-12-09 16:07:46 Price:26.14
S:2017-12-09 16:07:46 E:2017-12-09 19:44:32 Price:15.03
S:2017-12-09 19:44:32 E:2017-12-09 21:24:53 Price:26.24
S:2017-12-09 21:24:53 E:2017-12-09 23:11:21 Price:15.03
S:2017-12-09 23:11:21 E:2017-12-10 00:53:42 Price:26.24
S:2017-12-10 00:53:42 E:2017-12-10 05:07:42 Price:15.03
S:2017-12-10 05:07:42 E:2017-12-10 11:39:05 Price:26.24
S:2017-12-10 11:39:05 E:2017-12-10 13:26:19 Price:15.03
S:2017-12-10 13:26:19 E:2017-12-10 18:28:06 Price:26.24
S:2017-12-10 18:28:06 E:2017-12-10 21:41:31 Price:15.03
S:2017-12-10 21:41:31 E:2017-12-11 06:10:28 Price:26.24
S:2017-12-11 06:10:28 E:2017-12-11 09:27:19 Price:15.03
S:2017-12-11 09:27:19 E:2017-12-11 13:45:06 Price:26.24
S:2017-12-11 13:45:06 E:2017-12-11 17:04:33 Price:15.03
S:2017-12-11 17:04:33 E:2017-12-12 01:30:38 Price:26.24
S:2017-12-12 01:30:38 E:2017-12-12 04:39:12 Price:15.03
S:2017-12-12 04:39:12 E:2017-12-12 10:37:01 Price:26.24
S:2017-12-12 10:37:01 E:2017-12-12 12:15:19 Price:15.03
S:2017-12-12 12:15:19 E:2017-12-12 19:45:02 Price:26.24
S:2017-12-12 19:45:02 E:2017-12-12 21:23:12 Price:26.28
S:2017-12-12 21:23:12 E:2017-12-12 23:00:22 Price:15.03
S:2017-12-12 23:00:22 E:2017-12-13 02:22:27 Price:26.28
S:2017-12-13 02:22:27 E:2017-12-13 04:06:57 Price:15.03
S:2017-12-13 04:06:57 E:2017-12-13 12:29:39 Price:26.28
S:2017-12-13 12:29:39 E:2017-12-13 14:06:43 Price:15.03
S:2017-12-13 14:06:43 E:2017-12-13 18:20:19 Price:26.28
S:2017-12-13 18:20:19 E:2017-12-13 19:57:55 Price:15.03
S:2017-12-13 19:57:55 E:2017-12-13 21:32:40 Price:26.28
S:2017-12-13 21:32:40 E:2017-12-13 23:19:12 Price:15.03
S:2017-12-13 23:19:12 E:2017-12-14 00:52:43 Price:26.28
S:2017-12-14 00:52:43 E:2017-12-14 05:56:00 Price:15.03
S:2017-12-14 05:56:00 E:2017-12-14 14:18:08 Price:26.28
S:2017-12-14 14:18:08 E:2017-12-14 20:51:40 Price:15.03
S:2017-12-14 20:51:40 E:2017-12-16 11:48:00 Price:25.93
S:2017-12-16 11:48:00 E:2017-12-17 18:20:42 Price:25.68
S:2017-12-17 18:20:42 E:2017-12-17 20:11:58 Price:14.82
S:2017-12-17 20:11:58 E:2017-12-18 11:11:06 Price:25.68
S:2017-12-18 11:11:06 E:2017-12-18 14:36:13 Price:14.82
S:2017-12-18 14:36:13 E:2017-12-18 21:33:25 Price:25.68
S:2017-12-18 21:33:25 E:2017-12-19 00:49:22 Price:14.82
S:2017-12-19 00:49:22 E:2017-12-19 07:38:52 Price:25.68
S:2017-12-19 07:38:52 E:2017-12-19 14:26:22 Price:14.82
S:2017-12-19 14:26:22 E:2017-12-19 16:06:50 Price:25.67
S:2017-12-19 16:06:50 E:2017-12-19 17:43:43 Price:25.68
S:2017-12-19 17:43:43 E:2017-12-20 02:50:34 Price:14.82
S:2017-12-20 02:50:34 E:2017-12-20 15:24:33 Price:25.68
S:2017-12-20 15:24:33 E:2017-12-20 18:21:12 Price:14.82
S:2017-12-20 18:21:12 E:2017-12-20 20:03:39 Price:25.68
S:2017-12-20 20:03:39 E:2017-12-20 21:43:17 Price:14.82
S:2017-12-20 21:43:17 E:2017-12-21 05:19:37 Price:25.68
S:2017-12-21 05:19:37 E:2017-12-21 08:36:38 Price:14.82
S:2017-12-21 08:36:38 E:2017-12-21 11:56:06 Price:25.68
S:2017-12-21 11:56:06 E:2017-12-21 15:18:01 Price:14.82
S:2017-12-21 15:18:01 E:2017-12-21 17:38:07 Price:25.68
S:2017-12-21 17:38:07 E:2017-12-21 19:23:09 Price:14.82
S:2017-12-21 19:23:09 E:2017-12-21 21:09:54 Price:25.67
S:2017-12-21 21:09:54 E:2017-12-22 03:47:52 Price:25.68
S:2017-12-22 03:47:52 E:2017-12-22 05:27:11 Price:14.82
S:2017-12-22 05:27:11 E:2017-12-22 07:06:36 Price:25.68
S:2017-12-22 07:06:36 E:2017-12-22 10:23:17 Price:26.19
S:2017-12-22 10:23:17 E:2017-12-22 13:46:24 Price:25.68
S:2017-12-22 13:46:24 E:2017-12-22 15:22:15 Price:21.1
S:2017-12-22 15:22:15 E:2017-12-22 18:47:41 Price:25.68
S:2017-12-22 18:47:41 E:2017-12-22 20:23:20 Price:26.19
S:2017-12-22 20:23:20 E:2017-12-22 22:04:21 Price:25.68
S:2017-12-22 22:04:21 E:2017-12-23 01:19:31 Price:21.1
S:2017-12-23 01:19:31 E:2017-12-23 06:19:37 Price:26.45
S:2017-12-23 06:19:37 E:2017-12-23 13:05:10 Price:21.1
S:2017-12-23 13:05:10 E:2017-12-23 14:43:22 Price:26.45
S:2017-12-23 14:43:22 E:2017-12-23 17:21:06 Price:21.1
S:2017-12-23 17:21:06 E:2017-12-23 20:43:06 Price:26.45
S:2017-12-23 20:43:06 E:2017-12-23 22:15:15 Price:21.1
S:2017-12-23 22:15:15 E:2017-12-24 01:40:32 Price:26.45
S:2017-12-24 01:40:32 E:2017-12-24 05:01:54 Price:21.1
S:2017-12-24 05:01:54 E:2017-12-24 13:21:16 Price:26.45
S:2017-12-24 13:21:16 E:2017-12-24 15:02:16 Price:21.1
S:2017-12-24 15:02:16 E:2017-12-24 16:39:25 Price:26.45
S:2017-12-24 16:39:25 E:2017-12-24 18:20:36 Price:21.1
S:2017-12-24 18:20:36 E:2017-12-24 21:43:08 Price:26.45
S:2017-12-24 21:43:08 E:2017-12-25 05:12:26 Price:21.1
S:2017-12-25 05:12:26 E:2017-12-25 20:06:48 Price:26.45
S:2017-12-25 20:06:48 E:2017-12-25 21:43:27 Price:21.1
S:2017-12-25 21:43:27 E:2017-12-26 01:09:11 Price:26.45
S:2017-12-26 01:09:11 E:2017-12-26 09:18:15 Price:21.1
S:2017-12-26 09:18:15 E:2017-12-26 11:10:25 Price:26.45
S:2017-12-26 11:10:25 E:2017-12-26 12:51:13 Price:21.1
S:2017-12-26 12:51:13 E:2017-12-26 19:29:43 Price:26.45
S:2017-12-26 19:29:43 E:2017-12-27 00:30:37 Price:21.1
S:2017-12-27 00:30:37 E:2017-12-27 02:06:38 Price:26.45
S:2017-12-27 02:06:38 E:2017-12-27 03:44:58 Price:26.32
